Invoice ID,Branch,City,Customer,Gender,Product lin,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross marg,gross inco,Rating
750-67-84,A,Yangon,Member,Female,Health and,74.69,7,26.1415,548.9715,########,13:08,Ewallet,522.83,4.761905,26.1415,9.1
226-31-30,C,Naypyitaw,Normal,Female,Electronic,15.28,5,3.82,80.22,########,10:29,Cash,76.4,4.761905,3.82,9.6
631-41-31,A,Yangon,Normal,Male,Home and,46.33,7,16.2155,340.5255,########,13:23,Credit card,324.31,4.761905,16.2155,7.4
123-19-11,A,Yangon,Member,Male,Health and,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761905,23.288,8.4
373-73-79,A,Yangon,,Male,Sports and,86.31,7,30.2085,634.3785,########,10:37,Ewallet,604.17,4.761905,30.2085,5.3
699-14-30,C,Naypyitaw,Normal,Male,Electronic,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761905,29.8865,4.1
355-53-59,A,Yangon,Member,Female,Electronic,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761905,20.652,5.8
315-22-56,C,Naypyitaw,Normal,Female,Home and,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761905,36.78,8
665-32-91,A,Yangon,Member,Female,Health and,36.26,2,3.626,76.146,########,17:15,Credit card,72.52,4.761905,3.626,7.2
692-92-55,B,Mandalay,Member,Female,Food and b,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761905,8.226,5.9
351-62-08,B,Mandalay,Member,Female,Fashion ac,14.48,4,2.896,60.816,########,18:07,Ewallet,57.92,4.761905,2.896,4.5
529-56-39,B,Mandalay,Member,Male,Electronic,25.51,4,5.102,107.142,########,17:03,Cash,102.04,4.761905,5.102,6.8
365-64-05,A,Yangon,Normal,Female,Electronic,46.95,5,11.7375,,########,10:25,Ewallet,,4.761905,11.7375,7.1
252-56-26,A,Yangon,Normal,Male,,43.19,10,21.595,453.495,########,16:48,Ewallet,431.9,4.761905,21.595,8.2
829-34-39,A,Yangon,Normal,Female,Health and,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761905,35.69,5.7
299-46-18,B,Mandalay,Member,Female,Sports and,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.761905,28.116,4.5
656-95-93,A,Yangon,Member,Female,Health and,68.93,7,24.1255,506.6355,########,11:03,Credit card,482.51,4.761905,24.1255,4.6
765-26-69,A,Yangon,Normal,Male,Sports and,72.61,6,21.783,457.443,########,10:39,Credit card,435.66,4.761905,21.783,6.9
329-62-15,A,Yangon,Normal,Male,Food and b,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761905,8.2005,8.6
319-50-33,B,Mandalay,Normal,Female,Home and,40.3,2,4.03,84.63,########,15:30,Ewallet,80.6,4.761905,4.03,4.4
300-71-46,C,Naypyitaw,Member,Male,Electronic,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,4.761905,21.51,4.8
371-85-57,B,Mandalay,Normal,Male,Health and,87.98,3,13.197,277.137,########,10:40,Ewallet,263.94,,13.197,5.1
273-16-66,B,Mandalay,Normal,Male,Home and,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,4.761905,3.32,4.4
636-48-82,A,Yangon,Normal,Male,Electronic,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761905,8.64,9.9
549-59-13,A,Yangon,Member,Male,Sports and,88.63,3,13.2945,279.1845,########,17:36,Ewallet,265.89,4.761905,13.2945,6
227-03-50,A,Yangon,Member,Female,Home and,52.59,8,21.036,,3/22/2019,19:20,Credit card,420.72,4.761905,21.036,8.5
649-29-67,B,Mandalay,Normal,Male,,33.52,1,1.676,35.196,########,15:31,Cash,33.52,4.761905,1.676,6.7
189-17-42,A,Yangon,Normal,Female,Fashion ac,87.67,2,8.767,184.107,########,12:17,Credit card,175.34,4.761905,8.767,7.7
145-94-90,B,Mandalay,Normal,Female,Food and b,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,4.761905,22.09,9.6
848-62-72,A,Yangon,Normal,Male,Health and,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761905,11.2005,7.4
871-79-84,B,Mandalay,Normal,Male,Fashion ac,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.761905,23.5325,4.8
149-71-62,B,Mandalay,Member,Male,Sports and,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761905,35.1315,4.5
640-49-20,B,Mandalay,Normal,Male,Sports and,83.78,8,33.512,703.752,########,14:49,Cash,670.24,4.761905,33.512,5.1
595-11-54,A,Yangon,Normal,Male,Health and,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761905,9.658,5.1
183-56-68,C,Naypyitaw,Member,Female,Food and b,99.42,4,19.884,417.564,########,10:42,Ewallet,397.68,4.761905,19.884,7.5
232-16-24,C,Naypyitaw,Member,Female,Sports and,68.12,1,3.406,71.526,########,12:28,Ewallet,68.12,4.761905,3.406,6.8
129-29-85,A,Yangon,Member,Male,Sports and,62.62,5,15.655,328.755,########,19:15,Ewallet,313.1,4.761905,15.655,7
